Climate,Emissions,MISC
the,the,the
",",",",","
.,.,.
of,of,of
to,to,and
and,and,to
in,a,a
a,in,in
climate,that,'s
that,is,is
is,for,that
'',emissions,''
``,pollution,for
on,'s,``
for,said,it
said,'',on
's,``,with
it,on,as
change,it,he
as,energy,was
was,carbon,said
be,by,at
with,as,i
are,be,are
by,power,from
at,are,by
from,will,his
he,with,be
have,has,but
we,gas,has
weather,from,)
will,coal,(
has,air,have
this,environmental,an
but,have,we
not,would,they
temperature,government,this
degrees,at,not
an,was,you
warming,not,:
global,per,will
i,he,its
they,but,mr.
temperatures,an,or
were,we,who
more,this,their
about,),had
water,(,more
),more,would
australia,electricity,;
(,which,about
his,its,there
would,new,one
been,cent,were
their,australia,which
scientists,mr,new
which,vehicles,been
there,they,n't
had,delhi,all
or,nuclear,she
world,plants,when
countries,or,?
people,fuel,up
year,industry,her
than,than,can
:,about,than
celsius,cars,out
mr,their,into
can,plant,australia
its,levels,people
one,can,if
new,environment,so
storm,also,what
who,been,us
energy,had,do
you,greenhouse,world
our,i,says
over,state,our
science,year,year
also,city,government
up,dioxide,some
sea,water,like
government,reduce,china
years,tax,after
ice,million,two
all,:,also
when,up,no
n't,says,my
out,there,years
us,other,over
?,if,other
conference,scheme,could
india,could,time
do,were,them
what,diesel,most
some,mr.,first
so,oil,mr
could,years,million
research,renewable,through
if,one,just
